title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
"Kaguya-sama wa Kokurasetai: Ultra Romantic",TV,13,Spring 2022,"A-1 Pictures",Manga,"Comedy, Suspense","Psychological, Romantic Subtext, School",PG-13 - Teens 13 or older,9.141,12,300
"Fullmetal Alchemist: Brotherhood",TV,64,Spring 2009,"Bones",Manga,"Action, Adventure, Drama, Fantasy",,R - 17+ (violence & profanity),9.131,22,3
"Gintama°",TV,51,Spring 2015,"Bandai Namco Pictures",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.081,32,338
"Steins;Gate",TV,24,Spring 2011,"White Fox",Visual novel,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",PG-13 - Teens 13 or older,9.081,42,13
"Shingeki no Kyojin Season 3 Part 2",TV,10,Spring 2019,"Wit Studio",Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),9.071,52,28
"Gintama'",TV,51,Spring 2011,"Sunrise",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.051,62,381
"Hunter x Hunter (2011)",TV,148,Fall 2011,"Madhouse",Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,9.051,72,10
"Gintama': Enchousen",TV,13,Fall 2012,"Sunrise",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.041,82,698
"Gintama: The Final",Movie,1,,"Bandai Namco Pictures",Manga,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.041,92,1684
"Fruits Basket: The Final",TV,13,Spring 2021,"TMS Entertainment",Manga,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,9.031,102,523
"Ginga Eiyuu Densetsu",OVA,110,,"Kitty Film Mitaka Studio",Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",R - 17+ (violence & profanity),9.031,112,704
"Gintama.",TV,12,Winter 2017,"Bandai Namco Pictures",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.991,122,736
"3-gatsu no Lion 2nd Season",TV,22,Fall 2017,"Shaft",Manga,"Drama, Slice of Life","Childcare, Iyashikei, Strategy Game",PG-13 - Teens 13 or older,8.951,132,531
"Gintama",TV,201,Spring 2006,"Sunrise",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.951,142,131
"Koe no Katachi",Movie,1,,"Kyoto Animation",Manga,,,PG-13 - Teens 13 or older,8.951,152,18
"Clannad: After Story",TV,24,Fall 2008,"Kyoto Animation",Visual novel,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,8.941,162,106
"Violet Evergarden Movie",Movie,1,,"Kyoto Animation",Light novel,"Drama, Fantasy, Slice of Life",,PG-13 - Teens 13 or older,8.941,172,405
"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare",Movie,1,,"Sunrise",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai, Time Travel",PG-13 - Teens 13 or older,8.931,182,942
"Code Geass: Hangyaku no Lelouch R2",TV,25,Spring 2008,"Sunrise",Original,"Action, Drama, Sci-Fi","Mecha, Military, Super Power",R - 17+ (violence & profanity),8.911,192,47
"Owarimonogatari 2nd Season",TV,7,Summer 2017,"Shaft",Light novel,"Comedy, Mystery, Supernatural",,R - 17+ (violence & profanity),8.901,202,538
"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen",TV,14,Summer 2018,"Bandai Namco Pictures",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.881,212,1193
"Kimetsu no Yaiba: Yuukaku-hen",TV,11,Winter 2022,"ufotable",Manga,"Action, Fantasy",,R - 17+ (violence & profanity),8.861,222,139
"Kimi no Na wa.",Movie,1,,"CoMix Wave Films",Original,"Drama, Supernatural",,PG-13 - Teens 13 or older,8.861,232,11
"Monster",TV,74,Spring 2004,"Madhouse",Manga,"Drama, Mystery, Suspense","Adult Cast, Psychological",R+ - Mild Nudity,8.841,242,153
"Shingeki no Kyojin: The Final Season",TV,16,Winter 2021,"MAPPA",Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.831,252,44
"Spy x Family",TV,12,Spring 2022,"Wit Studio, CloverWorks",Manga,"Action, Comedy",,PG-13 - Teens 13 or older,8.831,262,145
"Shingeki no Kyojin: The Final Season Part 2",TV,12,Winter 2022,"MAPPA",Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),8.821,272,147
"Mob Psycho 100 II",TV,13,Winter 2019,"Bones",Web manga,"Action, Comedy, Supernatural",,PG-13 - Teens 13 or older,8.811,282,83
"Gintama.: Shirogane no Tamashii-hen",TV,12,Winter 2018,"Bandai Namco Pictures",Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.811,292,1093
