title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
Kaguya-sama: Love is War - Ultra Romantic,TV,13,Spring 2022,A-1 Pictures,Manga,"Comedy, Suspense","Psychological, Romantic Subtext, School",PG-13 - Teens 13 or older,9.141,12,290
Fullmetal Alchemist: Brotherhood,TV,64,Spring 2009,Bones,Manga,"Action, Adventure, Drama, Fantasy",Military,R - 17+ (violence & profanity),9.131,22,3
Gintama Season 4,TV,51,Spring 2015,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.081,32,338
Steins;Gate,TV,24,Spring 2011,White Fox,Visual novel,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",PG-13 - Teens 13 or older,9.081,42,13
Attack on Titan Season 3 Part 2,TV,10,Spring 2019,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",R - 17+ (violence & profanity),9.071,52,28
Gintama Season 2,TV,51,Spring 2011,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.051,62,381
Gintama: Enchousen,TV,13,Fall 2012,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.041,72,698
Gintama: The Very Final,Movie,1,Winter 2021,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,9.041,82,1678
Hunter x Hunter,TV,148,Fall 2011,Madhouse,Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,9.041,92,10
Fruits Basket: The Final Season,TV,13,Spring 2021,TMS Entertainment,Manga,"Drama, Romance, Supernatural",,PG-13 - Teens 13 or older,9.031,102,522
Legend of the Galactic Heroes,OVA,110,Winter 1988,Kitty Film Mitaka Studio,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",R - 17+ (violence & profanity),9.031,112,704
Gintama Season 5,TV,12,Winter 2017,Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.991,122,737
March Comes In Like A Lion 2nd Season,TV,22,Fall 2017,Shaft,Manga,"Drama, Slice of Life","Childcare, Iyashikei, Strategy Game",PG-13 - Teens 13 or older,8.951,132,531
Gintama,TV,201,Spring 2006,Sunrise,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",PG-13 - Teens 13 or older,8.951,142,131
A Silent Voice,Movie,1,Fall 2016,Kyoto Animation,Manga,Drama,Romantic Subtext,PG-13 - Teens 13 or older,8.951,152,18
